id,contains
kb0710,kb0710
kb0812,kb0710
kb0812,kb0812
kb1212,kb0710
kb1212,kb0812
kb1212,kb1212
kb1612,kb0710
kb1612,kb0812
kb1612,kb1212
kb1612,kb1612
t10810a,t10810a
t10810b,t10810b
t10810c,t10810c
t10810f,t10810f
t10810f,t10810a
t10810f,t10810b
t10810f,t10810c
t10812a,t10812a
t10812b,t10812b
t10812c,t10812c
t10812f,t10812f
t10812f,t10810a
t10812f,t10810b
t10812f,t10810c
t10812f,t10812a
t10812f,t10812b
t10812f,t10812c
t10812f,t10812f
t20812m,t20812m
t20810m,t20810m
t20812m,t20810m
t20812s,t20812s
t20810s,t20810s
t20812s,t20810s
t20812s,t20812s
t21210m,t21210m
t21210m,t20810m
t21210s,t21210s
t21210s,t20810s
t21210s,t21210s
t21212m,t21212m
t21212m,t20812m
t21212m,t21210m
t21212m,t20810m
t21212s,t21212s
t21212s,t20812s
t21212s,t21210s
t21212s,t20810s
mb2016,mb2016
mb2017,mb2017
mb2019,mb2019
mb2024,mb2024
mb2020,mb2020
gb0810,gb0810
gb0812,gb0810
gb0812,gb0812
gb1212,gb0810
gb1212,gb0812
gb1212,gb1212
db0810,db0810
db0812,db0810
db0812,db0812
db1212,db0810
db1212,db0812
db1212,db1212
