Timestamp,Email Address,Gym Name,Gym Website,Gym Phone Number,Google Maps Link,Climbing,Bouldering Wall Height (ft),Rope Wall Height (ft),Campus Board,Spray Wall,Kilter Board [7x10 (Home)],Kilter Board [8x12],Kilter Board [12x12],Kilter Board [16x12],Tension Board [Tension 1 8x10 Full Set],Tension Board [Tension 1 8x10 Set A],Tension Board [Tension 1 8x10 Set B],Tension Board [Tension 1 8x10 Set C],Tension Board [Tension 1 8x12 Full Set],Tension Board [Tension 1 8x12 Set A],Tension Board [Tension 1 8x12 Set B],Tension Board [Tension 1 8x12 Set C],Tension Board [Tension 2 8x10 Spray],Tension Board [Tension 2 8x10 Mirror],Tension Board [Tension 2 8x12 Spray],Tension Board [Tension 2 8x12 Mirror],Tension Board [Tension 2 12x10 Spray],Tension Board [Tension 2 12x10 Mirror],Tension Board [Tension 2 12x12 Spray],Tension Board [Tension 2 12x12 Mirror],MoonBoard [MoonBoard 2016],MoonBoard [MoonBoard 2017],MoonBoard [MoonBoard 2019],MoonBoard [MoonBoard 2024],MoonBoard [MoonBoard Mini 2020],Fitness,Where there any questions you were unsure of your answers on?,Feel free to add any notes or comments as you see fit about this gym!
2024-04-02T09:36:12Z,gus.lipkin@gmail.com,Movement Denton,https://movementgyms.com/denton/,19408081107,"https://www.google.com/maps/place/Movement+Denton/@33.21583,-97.1451016,15z/data=!3m1!4b1!4m6!3m5!1s0x864dca8a14fbc561:0x765e25adb1d68cb9!8m2!3d33.2158304!4d-97.1348019!16s%2Fg%2F11bwh5w7sl?entry=ttu","Bouldering, Auto Belay",14,NA,Yes,,NA,Adjustable,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Yoga Studio",NA,NA
2024-04-02T09:32:41Z,gus.lipkin@gmail.com,Movement Design District,https://movementgyms.com/design-district/,14699415100,"https://www.google.com/maps/place/Movement+Design+District/@32.7899383,-96.8334333,15z/data=!3m1!4b1!4m6!3m5!1s0x864e997833e8e8e3:0xc7a41fa9db91416b!8m2!3d32.7899387!4d-96.8231336!16s%2Fg%2F11rxlgkxf9?entry=ttu","Bouldering, Top Rope, Lead, Speed",NA,56,Yes,,NA,NA,Adjustable,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Yoga Studio",partial 12x12 tension 2 mirror board,NA
2024-04-02T09:26:52Z,gus.lipkin@gmail.com,Movement The Hill,https://movementgyms.com/the-hill/,12144473159,"https://www.google.com/maps/place/Movement+The+Hill/@32.8812541,-96.7788539,15z/data=!3m1!4b1!4m6!3m5!1s0x864e9fc78d6ba183:0x86e333356785ce0b!8m2!3d32.8812545!4d-96.7685542!16s%2Fg%2F11rxjlxs2z?entry=ttu",Bouldering,NA,NA,Yes,,NA,NA,Adjustable,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",NA,NA
2024-04-02T09:23:05Z,gus.lipkin@gmail.com,Movement Callowhill,https://movementgyms.com/callowhill/,12154447625,"https://www.google.com/maps/place/Movement+Callowhill+(Formerly+The+Cliffs+At+Callowhill)/@39.9586048,-75.1558168,17z/data=!3m1!4b1!4m6!3m5!1s0x89c6c70ea3f20a11:0x3bdb5662f740d18f!8m2!3d39.9586048!4d-75.1558168!16s%2Fg%2F11h7jn0vjb?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay, Treadwall",NA,NA,Yes,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Yoga Studio",NA,NA
2024-03-22T20:54:39Z,gus.lipkin@gmail.com,Movement Portland,https://movementgyms.com/portland/,15034775666,"https://www.google.com/maps/place/Movement+Portland/@45.5331116,-122.6963497,15z/data=!3m1!4b1!4m6!3m5!1s0x549509fd0f8007b5:0x682e90431d709b1d!8m2!3d45.5331121!4d-122.68605!16s%2Fg%2F11b6dq4z5b?entry=ttu","Bouldering, Top Rope, Lead",18,55,Yes,,NA,Adjustable,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",NA,NA
2024-03-22T20:45:22Z,gus.lipkin@gmail.com,Movement Valhalla,https://movementgyms.com/valhalla/,19143287625,"https://www.google.com/maps/place/Movement+Valhalla+(Formerly+The+Cliffs+at+Valhalla)/@41.0881637,-73.7975933,15z/data=!3m1!4b1!4m6!3m5!1s0x89c2be294905aa4f:0xf48230e227d07b69!8m2!3d41.0881642!4d-73.7872936!16s%2Fg%2F1tt1tmbn?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",NA,NA,Yes,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,Cardio Machines,NA,NA
2024-03-21T14:09:13Z,gus.lipkin@gmail.com,Movement LIC,https://movementgyms.com/lic/,17187297625,"https://www.google.com/maps/place/Movement+LIC+(Formerly+The+Cliffs+at+LIC)/@40.7485991,-73.9590403,15z/data=!3m2!4b1!5s0x89c25927c3e9e5f7:0x1ca3675a2abf6ee9!4m6!3m5!1s0x89c25927c411edc5:0x59ed14c2ffcc7b2b!8m2!3d40.7485996!4d-73.9487406!16s%2Fg%2F1pp2wwbd7?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",NA,45,Yes,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Yoga Studio",boards,NA
2024-03-21T14:02:43Z,gus.lipkin@gmail.com,Movement Harlem,https://movementgyms.com/harlem/,16469337625,"https://www.google.com/maps/place/Movement+Harlem+(Formerly+The+Cliffs+At+Harlem)/@40.8095772,-73.9502641,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2f725d66dae3d:0xb6b717a38a1e7bd!8m2!3d40.8095772!4d-73.9502641!16s%2Fg%2F11fmdldbg1?entry=ttu",Bouldering,NA,NA,Yes,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Yoga Studio",NA,NA
2024-03-21T11:08:03Z,gus.lipkin@gmail.com,Movement Gowanus,https://movementgyms.com/gowanus/,19295677625,"https://www.google.com/maps/place/Movement+Gowanus+(Formerly+The+Cliffs+at+Gowanus)/@40.6813514,-73.9957254,15z/data=!3m1!4b1!4m6!3m5!1s0x89c25bde8ae22519:0x22c6df69ec0f8e8a!8m2!3d40.6813519!4d-73.9854257!16s%2Fg%2F11nxss51sj?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay, Speed, Treadwall",NA,NA,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",NA,NA
2024-03-21T10:58:13Z,gus.lipkin@gmail.com,Movement Timonium,https://movementgyms.com/timonium/,14105605665,"https://www.google.com/maps/place/Movement+Timonium/@39.4323365,-76.6398713,15z/data=!3m1!4b1!4m6!3m5!1s0x89c80e22b10a073f:0x5de184eb354af9bb!8m2!3d39.432337!4d-76.6295716!16s%2Fg%2F1tcvq71n?entry=ttu","Bouldering, Top Rope, Lead",NA,51,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",NA,NA
