Timestamp,Email Address,Gym Name,Gym Website,Gym Phone Number,Google Maps Link,Climbing,Bouldering Wall Height (ft),Rope Wall Height (ft),Campus Board,Spray Wall,Kilter Board [7x10 (Home)],Kilter Board [8x12],Kilter Board [12x12],Kilter Board [16x12],Tension Board [Tension 1 8x10 Full Set],Tension Board [Tension 1 8x10 Set A],Tension Board [Tension 1 8x10 Set B],Tension Board [Tension 1 8x10 Set C],Tension Board [Tension 1 8x12 Full Set],Tension Board [Tension 1 8x12 Set A],Tension Board [Tension 1 8x12 Set B],Tension Board [Tension 1 8x12 Set C],Tension Board [Tension 2 8x10 Spray],Tension Board [Tension 2 8x10 Mirror],Tension Board [Tension 2 8x12 Spray],Tension Board [Tension 2 8x12 Mirror],Tension Board [Tension 2 12x10 Spray],Tension Board [Tension 2 12x10 Mirror],Tension Board [Tension 2 12x12 Spray],Tension Board [Tension 2 12x12 Mirror],MoonBoard [MoonBoard 2016],MoonBoard [MoonBoard 2017],MoonBoard [MoonBoard 2019],MoonBoard [MoonBoard 2024],MoonBoard [MoonBoard Mini 2020],Fitness,Where there any questions you were unsure of your answers on?,Feel free to add any notes or comments as you see fit about this gym!
2/18/2024 10:24:44,gus.lipkin@gmail.com,CRG Warwick,https://centralrockgym.com/warwick/,14018895452,"https://www.google.com/maps/place/Central+Rock+Gym/@41.730228,-71.48278,17z/data=!4m6!3m5!1s0x89e44bf95af53765:0x9ccaeda873163fab!8m2!3d41.7302284!4d-71.4827804!16s%2Fg%2F11dymbm37j?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,36,No,Unknown,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,"Cardio Machines, Free Weights, Yoga Studio",,
2/18/2024 10:35:22,gus.lipkin@gmail.com,CRG Buffalo,https://centralrockgym.com/buffalo/,17162620443,"https://www.google.com/maps/place/Central+Rock+Gym/@42.869783,-78.868455,17z/data=!4m6!3m5!1s0x89d313f889258573:0x7449281ebcaaab60!8m2!3d42.8697831!4d-78.8684551!16s%2Fg%2F11h0spyf8s?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,45,No,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",Moonboard? Tension 1 angle?,
2/18/2024 13:15:26,gus.lipkin@gmail.com,CRG Chelsea,https://centralrockgym.com/chelsea/,16465902500,"https://www.google.com/maps/place/Central+Rock+Gym/@40.750993,-74.0041716,19z/data=!4m6!3m5!1s0x89c25931f081000f:0xc92958cda11dabcd!8m2!3d40.7510984!4d-74.0041661!16s%2Fg%2F11sdx_spm0?hl=en&entry=ttu",Bouldering,,,No,,,Adjustable,,,,,,,,,,,,,Adjustable,,,,,,,,,,,"Cardio Machines, Free Weights",,
2/18/2024 13:20:57,gus.lipkin@gmail.com,CRG Manhattan,https://centralrockgym.com/manhattan/,12122657625,"https://www.google.com/maps/place/Central+Rock+Gym/@40.772539,-73.990352,18z/data=!4m6!3m5!1s0x89c2585c3f4f91f1:0xeb17e26fe01a657b!8m2!3d40.7725386!4d-73.9903523!16s%2Fg%2F11g03phn9d?hl=en&entry=ttu","Bouldering, Top Rope, Auto Belay",,40,Yes,,,,,,,,,,Adjustable,,,,,,,,,,,,,,,,,Free Weights,,
2/18/2024 13:26:29,gus.lipkin@gmail.com,CRG Rochester,https://centralrockgym.com/rochester/,15854419002,"https://www.google.com/maps/place/Central+Rock+Gym/@43.149942,-77.594439,17z/data=!4m6!3m5!1s0x89d6b50878e49509:0xa06b29090bec1e54!8m2!3d43.1499423!4d-77.5944386!16s%2Fg%2F11h0fyj6g2?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,45,Yes,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/18/2024 13:35:13,gus.lipkin@gmail.com,CRG Syracuse,https://centralrockgym.com/syracuse/,13156714450,"https://www.google.com/maps/place/Central+Rock+Gym/@43.057214,-76.157561,17z/data=!4m6!3m5!1s0x89d9f3c9861f39e3:0x2344323bab9faee5!8m2!3d43.0572144!4d-76.1575609!16s%2Fg%2F11gd1_67j2?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,45,Yes,,,,,,40,,,,,,,,,,,,,,,,,,40,,,"Cardio Machines, Free Weights, Yoga Studio",,
2/18/2024 13:39:59,gus.lipkin@gmail.com,CRG Orlando,https://centralrockgym.com/orlando/,14076010399,"https://www.google.com/maps/place/Central+Rock+Gym/@28.4487143,-81.4044588,17z/data=!3m2!4b1!5s0x88e77c4ac740def5:0xf0dbe397d134640c!4m6!3m5!1s0x88e77db7d3155881:0x9c28d5d780d3b892!8m2!3d28.4487143!4d-81.4044588!16s%2Fg%2F11v62ylvw1?hl=en&entry=ttu",Bouldering,,,No,,,,,Adjustable,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio","Grasshopper, decoy",
2/18/2024 13:44:43,gus.lipkin@gmail.com,CRG Tampa,https://centralrockgym.com/tampa/,18134439856,"https://www.google.com/maps/place/Central+Rock+Gym/@27.894135,-82.520641,16z/data=!4m6!3m5!1s0x88c2dd81ab1d9137:0xa93213dfb742f5a0!8m2!3d27.8941347!4d-82.5206412!16s%2Fg%2F11k54ctl_k?hl=en&entry=ttu","Bouldering, Auto Belay",,,Yes,,,,Adjustable,,,,,,,,,,,,,,,,,,40,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/20/2024 9:41:53,gus.lipkin@gmail.com,"Rock Spot Climbing: Malden, MA",https://malden.rockspotclimbing.com/,13392105556,"https://www.google.com/maps/place/Rock+Spot+Climbing:+Malden,+MA/@42.4266907,-71.0732739,17z/data=!3m1!4b1!4m6!3m5!1s0x89e3714b1d458d85:0x494161f4a4dc3057!8m2!3d42.4266907!4d-71.0732739!16s%2Fg%2F11pzrl1wv3?entry=ttu",Bouldering,,,No,,,,,,,,,,,,,,,,,,,,,,40,,,,,Cardio Machines,Decoy board,
2/20/2024 9:48:49,gus.lipkin@gmail.com,Rock Spot Climbing: South Boston,https://southboston.rockspotclimbing.com/,16172692084,"https://www.google.com/maps/place/Rock+Spot+Climbing:+South+Boston/@42.3372292,-71.0666973,15z/data=!3m1!4b1!4m6!3m5!1s0x89e37a66b0eebac3:0x188c9d1a62feecdc!8m2!3d42.3372297!4d-71.0563976!16s%2Fg%2F11b6rxjkm3?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay, Treadwall",,,No,Unknown,,,,,,,,,,,,,,,,,,,,,40,,,,,"Free Weights, Yoga Studio",,
2/8/2024 10:18:39,gus.lipkin@gmail.com,CRG Framingham,https://centralrockgym.com/framingham/,17747775637,"https://www.google.com/maps/place/Central+Rock+Gym/@42.3187001,-71.3976053,15z/data=!4m6!3m5!1s0x89e388bc62f3af3d:0xd01f8cdfc3b57caf!8m2!3d42.3187001!4d-71.3976053!16s%2Fg%2F11gf1kjydf?entry=ttu",Bouldering,18,,No,Unknown,Adjustable,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/8/2024 11:00:01,gus.lipkin@gmail.com,CRG Hadley,https://centralrockgym.com/hadley/,14135847625,"https://www.google.com/maps/place/Central+Rock+Gym/@42.3420669,-72.5870655,17z/data=!3m1!4b1!4m6!3m5!1s0x89e6d11a321865c1:0x24134bc7f36a19ee!8m2!3d42.3420669!4d-72.5844906!16s%2Fg%2F1v_ndjht?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,45,Yes,,Unknown,,,,,,,,,,,,,,,Unknown,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/15/2024 10:29:58,gus.lipkin@gmail.com,CRG Arsenal Yards,https://centralrockgym.com/arsenalyards/,16177440876,"https://www.google.com/maps/place/Central+Rock+Gym/@42.3658256,-71.1880191,15z/data=!3m1!5s0x89e3782f0c80549b:0x3b6bfb1f3229de1f!4m10!1m2!2m1!1scrg+arsenal+yards!3m6!1s0x89e37945220680d1:0xe4987913f615c3e6!8m2!3d42.3621233!4d-71.1567809!15sChFjcmcgYXJzZW5hbCB5YXJkcyIDiAEBWhMiEWNyZyBhcnNlbmFsIHlhcmRzkgEUcm9ja19jbGltYmluZ19jZW50cmXgAQA!16s%2Fg%2F11t85qnk9d?entry=ttu","Top Rope, Lead, Auto Belay",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2024 11:56:13,gus.lipkin@gmail.com,CRG North Station,https://centralrockgym.com/northstation/,16172271087,"https://www.google.com/maps/place/Central+Rock+Gym/@42.356176,-71.1209971,13z/data=!4m10!1m2!2m1!1scrg+north+station!3m6!1s0x89e37109bb8e2429:0x4cd3da10c78b118c!8m2!3d42.3651059!4d-71.058902!15sChFjcmcgbm9ydGggc3RhdGlvbiIDiAEBWhMiEWNyZyBub3J0aCBzdGF0aW9ukgEUcm9ja19jbGltYmluZ19jZW50cmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlNhRjl0T1UxUkVBReABAA!16s%2Fg%2F11h632jgn1?entry=ttu",Bouldering,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights",,
2/15/2024 12:04:41,gus.lipkin@gmail.com,CRG Cambridge,https://centralrockgym.com/cambridge/,16177145254,"https://www.google.com/maps/place/Central+Rock+Gym/@42.390772,-71.139885,14z/data=!3m1!5s0x89e377095fe37359:0x899686ea54611674!4m14!1m7!3m6!1s0x89e3778ec92f43cf:0x516afe5190abc995!2sCentral+Rock+Gym!8m2!3d42.3907723!4d-71.1398849!16s%2Fg%2F11sts1sw5b!3m5!1s0x89e3778ec92f43cf:0x516afe5190abc995!8m2!3d42.3907723!4d-71.1398849!16s%2Fg%2F11sts1sw5b?hl=en&entry=ttu","Bouldering, Treadwall",,,Yes,Adjustable,,,Adjustable,,,,,,,,,,,,,,,,,,Adjustable,,,,,"Cardio Machines, Free Weights, Weight Machines",,
2/15/2024 12:12:28,gus.lipkin@gmail.com,CRG Fenway,https://centralrockgym.com/fenway/,18577534566,"https://www.google.com/maps/place/Central+Rock+Gym/@42.347261,-71.100694,17z/data=!4m6!3m5!1s0x89e37933c1b57123:0x6d06b716294fb982!8m2!3d42.3472609!4d-71.1006936!16s%2Fg%2F11t71szgmx?hl=en&entry=ttu",Bouldering,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights",,
